"species","volume"
"Valeriana_flaccidissima",63.1434543999713
"Smilax_ocreata",1098.78145615481
"Ophiopogon_japonicus",216.929917634502
"Myricaria_bracteata",359.800556908362
"Panzerina_lanata",436.213303685338
"Primula_nutans",766.30804782175
"Scutellaria_strigillosa",264.479252372474
"Mimosa_diplotricha",398.08514881411
"Isodon_excisus",292.234564269605
"Plantago_maxima",49.4924718031564
"Frankenia_pulverulenta",1166.00075485437
"Leucas_zeylanica",4141.07960780037
"Leonurus_sibiricus",10803.179293444
"Isodon_inflexus",461.140911740911
"Macaranga_indica",121.409947005166
"Oxalis_griffithii",117.850589328369
"Tulipa_biflora",68.1571740264772
"Elsholtzia_strobilifera",596.17219975991
"Lysimachia_candida",462.511526886666
"Salvia_plebeia",242.417897589326
"Juniperus_formosana",4543.67548603933
"Allium_mongolicum",7566.97367466462
"Juncus_castaneus",150.22228282825
"Maianthemum_japonicum",991.929907031585
"Veratrum_maackii",1779.22120766937
"Disporum_smilacinum",6516.11055540287
"Pterostyrax_corymbosus",4356.21284284284
"Neoshirakia_japonica",221.321874208051
"Phyllanthus_flexuosus",3092.73201952562
"Isodon_longitubus",2646.71367005418
"Allium_thunbergii",122.459532290158
"Hemerocallis_citrina",28.3160500556348
"Teucrium_viscidum",8968.04960122862
"Patrinia_villosa",6.02181175893521
"Luzula_plumosa",3118.56116073947
"Thymus_quinquecostatus",9531.47414880656
"Euphorbia_pekinensis",348.6736032226
"Mercurialis_leiocarpa",50.4291729158938
"Smilax_nipponica",1146.19642753428
"Patrinia_scabiosifolia",579.628932161258
"Flueggea_suffruticosa",388.135267821291
"Illicium_burmanicum",76.1031298111639
"Primula_amethystina",858.717942746906
"Glycyrrhiza_yunnanensis",528.961548942555
"Primula_secundiflora",5201.48065139319
"Eremurus_altaicus",2582.63709005406
"Streptopus_simplex",7536.82952512764
"Aletris_spicata",1998.74670122703
"Asparagus_schoberioides",195.741092824069
"Barnardia_japonica",504.37353808493
"Musa_itinerans",1314.88946227821
"Lysimachia_fortunei",505.709568869992
"Acorus_gramineus",576.727072435726
"Gagea_bulbifera",559.053572713206
"Allium_saxatile",19.6399934132159
"Androsace_umbellata",378.602770819964
"Meehania_urticifolia",127.281156730166
"Lysimachia_barystachys",577.501837392424
"Disporum_cantoniense",168.821770660573
"Myricaria_squamosa",706.43147258426
"Leucas_lavandulifolia",1904.15724189615
"Fritillaria_maximowiczii",298.82608410974
"Ocimum_gratissimum",523.118277309003
"Chamaecyparis_pisifera",583.374735304015
"Lilium_speciosum",49.6028369412018
"Allium_pallasii",13407.8859165973
"Nepeta_laevigata",618.684282178988
"Helianthemum_songaricum",453.775754358785
"Colebrookea_oppositifolia",5849.05392802365
"Teucrium_bidentatum",129.757325754438
"Cupressus_torulosa",622.304516220632
"Cardiocrinum_giganteum",205.488254073333
"Lycopus_lucidus",1079.22736841394
"Ophiopogon_intermedius",2575.63832712276
"Hosta_ventricosa",4559.55546297226
"Bridelia_retusa",116.88240477429
"Oxytropis_aciphylla",482.983734473558
"Scutellaria_dependens",813.678939059728
"Agastache_rugosa",97.4622629557988
"Aletris_glabra",1990.9801891175
"Ilex_yunnanensis",84.4515466825873
"Euphorbia_hylonoma",7259.37546072
"Glechoma_longituba",3233.78887110253
"Styrax_faberi",4636.76524099151
"Breynia_fruticosa",22.908563082504
"Ilex_serrata",6323.38480865224
"Mosla_scabra",57.918492545116
"Lycopus_cavaleriei",196.573959478925
"Phyllanthus_ussuriensis",914.622827368358
"Leucas_martinicensis",135.815669432136
"Ilex_pubescens",192.749162574267
"Primula_pulverulenta",170.183155507605
"Allium_macrostemon",268.995104940561
"Claoxylon_indicum",828.418162302402
"Oxytropis_microphylla",344.472451846113
"Eremurus_inderiensis",466.994317063755
"Asparagus_brachyphyllus",139.028312962153
"Smilax_davidiana",367.960236051401
"Antidesma_montanum",130.284249520924
"Primula_pulchella",513.144262712043
"Elsholtzia_communis",727.947220720928
"Primula_polyneura",511.611572536148
"Ilex_macrocarpa",201.20975130827
"Omphalogramma_souliei",1745.42251628793
"Juniperus_recurva",613.210617491559
"Styrax_benzoides",8936.10002163092
"Smilax_lanceifolia",71.219633249594
"Primula_advena",978.340389213835
"Juniperus_saltuaria",376.969276284918
"Plumbagella_micrantha",1518.2735500438
"Anisomeles_indica",290.003826475635
"Disporopsis_fuscopicta",744.962058155077
"Juniperus_tibetica",4494.19403591694
"Casearia_velutina",303.869646227434
"Casearia_graveolens",2083.50509560128
"Dracocephalum_tanguticum",227.685457943032
"Morina_chlorantha",8316.31368033904
"Smilax_myrtillus",7232.93006308448
"Dalbergia_stipulacea",661.413758461652
"Androsace_yargongensis",180.85963910498
"Elsholtzia_densa",479.636975199029
"Elsholtzia_feddei",2497.00810974458
"Pomatosace_filicula",160.026038167464
"Nardostachys_jatamansi",101.287209108808
"Dracocephalum_rupestre",127.319160187912
"Nitraria_tangutorum",465.045229984121
"Bridelia_glauca",428.77699135482
"Morina_chinensis",65.7052103180724
"Aletris_gracilis",334.399461452866
